"","species","maxwt_all","log_wt","rmax","t_median","t_med_corr","invtemp","invtemp_scaled","depth_median","depth_scaled"
"Isurus_oxyrinchus","Isurus_oxyrinchus",505760,5.7039444784955,0.116395135766456,12.476,15.976,40.1364976103782,-0.045043982741239,250.5,0.0222188072051682
"Scyliorhinus_canicula","Scyliorhinus_canicula",1320,3.12057393120585,0.426272888414465,12.2645,12.2645,40.658428384326,0.240435722044022,146,-0.148416966764181
"Galeorhinus_galeus","Galeorhinus_galeus",44670,4.65001595247184,0.195573648646464,9.4425,9.4425,41.0644479527879,0.46251564590982,400,0.266334101065625
"Triakis_semifasciata","Triakis_semifasciata",18420,4.26528962586083,0.27158618497403,13.252,13.252,40.5182401243644,0.163757156483524,46,-0.311704788744419
"Furgaleus_macki","Furgaleus_macki",12900,4.11058971029925,0.296854277050781,15.382,15.382,40.2191265027734,0.000151420528978099,110.5,-0.206384143567166
"Mustelus_manazo","Mustelus_manazo",5720,3.75739602879302,0.403794186012131,15.173,15.173,40.2482806023044,0.0160977953028641,180.5,-0.0920826681809988
"Mustelus_antarcticus","Mustelus_antarcticus",30800,4.48855071650044,0.387206376382727,13.7655,13.7655,40.4457235949198,0.124092897445284,175.5,-0.100247059280011
"Mustelus_canis","Mustelus_canis",12150,4.08457627793433,0.451684784511028,10.828,10.828,40.8640986558755,0.352930886797293,400,0.266334101065625
"Galeocerdo_cuvier","Galeocerdo_cuvier",807400,5.9070887450743,0.271077722725873,24.223,24.223,39.023398251012,-0.653874295820849,70.5,-0.271699272359261
"Sphyrna_lewini","Sphyrna_lewini",152400,5.18298496700358,0.464941202957723,16.2465,16.2465,40.0989818746882,-0.0655639092988761,138,-0.1614799925226
"Sphyrna_tiburo","Sphyrna_tiburo",10760,4.03181227133037,0.556760817589075,26.016,26.016,38.7895182209817,-0.781799310518139,40.5,-0.320685618953333
"Rhizoprionodon_terraenovae","Rhizoprionodon_terraenovae",7250,3.86033800657099,0.499373447832786,19.41,19.41,39.665384905996,-0.302727803050053,140.5,-0.157397796973094
"Negaprion_brevirostris","Negaprion_brevirostris",183700,5.26410915630581,0.126349183821903,25.91,25.91,38.8032669300415,-0.774279199423935,46.5,-0.310888349634518
"Carcharhinus_limbatus","Carcharhinus_limbatus",122750,5.08902150079501,0.131132696404845,27.463,27.463,38.6028049621879,-0.883925585994782,15.5,-0.361507574448392
"Carcharhinus_tilstoni","Carcharhinus_tilstoni",52000,4.7160033436348,0.292007184151132,25.81,25.81,38.8162463476659,-0.767179866530252,75.5,-0.263534881260249
"Carcharhinus_signatus","Carcharhinus_signatus",76650,4.88451215919039,0.204211290319167,12.901,12.901,40.5679581896173,0.190951373225201,300.5,0.103862718195287
"Carcharhinus_amblyrhynchos","Carcharhinus_amblyrhynchos",33700,4.52762990087134,0.142405570854629,25.43,25.43,38.8656474248048,-0.740159032309279,70.5,-0.271699272359261
"Carcharhinus_falciformis","Carcharhinus_falciformis",346000,5.53907609879278,0.155493630445076,14.5185,14.5185,40.3398530186593,0.0661850246680781,242,0.0083393423368479
"Prionace_glauca","Prionace_glauca",205930,5.31371961949509,0.577147025060673,13.275,13.275,40.5149864994264,0.16197752605524,175.5,-0.100247059280011
"Carcharhinus_plumbeus","Carcharhinus_plumbeus",117930,5.07162429853975,0.147670951201978,18.191,18.191,39.8313488595776,-0.211950744408543,140.5,-0.157397796973094
"Carcharhinus_sorrah","Carcharhinus_sorrah",28000,4.44715803134222,0.319844236907781,25.488,25.488,38.8580991303793,-0.744287711765985,66,-0.279047224348372
"Carcharhinus_longimanus","Carcharhinus_longimanus",167370,5.22367761613003,0.212197673673498,22.872,22.872,39.2014951865003,-0.556460877980409,76.5,-0.261902003040447
"Carcharhinus_obscurus","Carcharhinus_obscurus",346540,5.53975337105938,0.0915137074570559,15.9135,15.9135,40.145175742002,-0.0402973179003745,200.5,-0.0594251037849511
"Carcharhinus_galapagensis","Carcharhinus_galapagensis",85450,4.93171206705676,0.192531300214365,19.631,19.631,39.6354442675522,-0.319104389851737,140.5,-0.157397796973094
"Carcharhinus_leucas","Carcharhinus_leucas",316500,5.50037371435337,0.113908049322114,24.534,24.534,38.9826292582007,-0.676173651622681,76.5,-0.261902003040447
"Carcharhinus_brevipinna","Carcharhinus_brevipinna",89700,4.95279244304409,0.179567468339643,26.864,26.864,38.67987829934,-0.841768896572978,38,-0.324767814502839
"Carcharhinus_brachyurus","Carcharhinus_brachyurus",304600,5.48372989900002,0.123547339377945,23.2105,23.2105,39.1567196306465,-0.580951697653819,50.5,-0.304356836755309
"Carcharhinus_acronotus","Carcharhinus_acronotus",18860,4.27554168840131,0.240679998464736,27.6195,27.6195,38.5827186868955,-0.894912146333732,24,-0.347628109580072
